REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,17V,1,41,42,32,15,8,2,1,33,3,0,2,18,23,20,5,26,9,26,6,16,8,10,2,5,0,175,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,18V,1,40,41,40,14,7,1,0,38,1,2,1,21,22,30,4,26,5,29,2,22,4,5,5,4,0,182,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,19V,0,42,37,31,7,9,1,1,39,2,2,1,20,12,28,4,24,5,30,3,21,2,8,2,6,0,167,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,1V,1,23,29,24,6,7,1,1,50,2,1,2,8,5,2,1,3,14,16,12,33,12,19,5,8,1,142,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,20V,2,36,46,39,10,3,2,3,31,5,1,1,14,21,29,4,26,2,28,2,20,3,14,0,7,0,172,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,21V,3,41,41,31,10,12,1,2,28,3,2,0,23,30,28,7,18,11,14,6,9,9,7,2,3,0,169,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,22,3,35,42,30,5,11,1,5,21,6,4,2,17,23,13,17,11,11,7,11,12,13,3,7,1,1,153,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,23,1,34,43,21,11,14,0,2,16,2,9,7,18,22,16,12,21,8,5,5,7,5,2,4,0,1,142,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,24,5,38,59,24,4,9,0,2,27,2,17,27,5,16,16,25,4,13,8,13,11,7,3,2,0,1,168,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,25,1,67,40,41,14,10,1,1,30,2,6,12,20,28,23,38,17,20,10,12,9,8,2,0,0,0,205,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,26,3,24,45,24,15,21,0,0,26,0,2,3,13,22,12,21,10,18,15,12,10,8,7,5,0,0,158,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,2V,0,33,28,26,9,8,1,1,53,2,0,0,0,6,1,4,2,60,34,4,29,0,13,0,5,1,159,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,3V,3,44,24,24,8,12,1,0,49,1,0,2,5,7,6,5,2,63,22,2,29,2,16,2,2,0,165,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
