REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,17M,2,18,20,23,13,11,1,1,29,2,0,2,6,30,44,23,9,4,118,68,0.04,-1.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,18M,1,11,31,34,13,9,1,1,22,2,1,9,8,56,27,16,6,1,123,68,0.99,-0.004364805402450088,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,19M,0,16,38,27,18,13,1,3,33,4,3,9,34,60,24,10,7,2,149,68,0.1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,20M,1,17,55,36,18,10,2,4,22,6,3,9,33,64,34,14,7,1,165,68,0.77,-0.11350927482751812,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,21M,0,24,39,30,22,11,0,1,25,1,3,8,28,68,19,17,6,3,152,68,0.24,-0.619788758288394,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,22M,1,16,35,38,16,14,1,2,25,3,1,11,35,56,22,20,1,2,148,68,0.75,-0.12493873660829995,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,10V,2,15,29,22,17,11,2,2,27,4,4,9,4,47,11,32,16,4,127,68,0.37,-0.431798275933005,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,11V,2,18,30,30,14,5,0,0,24,0,1,11,10,58,13,16,12,1,123,68,0.22,-0.6575773191777937,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,12V,0,11,32,33,7,6,0,2,31,2,2,7,34,7,26,23,20,3,122,68,0.25,-0.6020599913279624,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,13V,0,17,27,28,11,5,1,1,24,2,0,10,38,6,17,26,11,6,114,68,0.52,-0.28399665636520083,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,14V,1,15,39,34,19,12,1,2,26,3,4,15,58,5,21,24,17,5,149,68,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,15V,1,16,40,38,12,9,1,0,21,1,3,7,59,7,25,18,18,1,138,68,0.95,-0.022276394711152253,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,16V,2,11,40,29,14,13,3,1,28,4,4,7,61,5,16,26,21,1,141,68,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,17V,0,27,41,34,10,11,0,3,20,3,4,10,62,5,20,30,9,6,146,68,0.71,-0.14874165128092473,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,18V,1,23,36,25,6,5,0,2,14,2,2,39,26,10,11,13,8,2,112,68,0.87,-0.060480747381381476,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,8V,0,10,31,24,9,3,1,2,18,3,2,11,4,25,20,20,11,5,98,68,0.7,-0.1549019599857432,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO GABRIELA MISTRAL,9V,3,12,27,20,13,6,1,2,19,3,1,13,10,29,17,14,17,2,103,68,0.48,-0.3187587626244128,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,1V,2,9,24,24,3,6,3,2,10,5,2,12,10,4,8,16,23,8,83,68,0.04,-1.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,23M,2,17,51,36,19,11,2,1,24,3,2,11,52,53,23,14,6,2,163,68,0.79,-0.10237290870955855,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,24M,3,19,42,48,16,11,0,5,22,5,2,10,56,52,16,15,8,6,166,68,0.62,-0.20760831050174613,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,25M,2,13,59,58,14,16,2,3,25,5,5,7,75,54,24,16,9,2,192,68,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,26M,1,33,41,33,11,10,1,0,11,1,5,15,66,21,18,11,4,0,141,68,0.3,-0.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,2V,1,3,22,17,4,5,1,2,18,3,2,9,5,6,8,17,21,5,73,68,0.35,-0.4559319556497244,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,3V,2,2,17,27,2,2,0,1,22,1,3,6,5,3,8,23,20,7,75,68,0.005,-2.3010299956639813,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,4V,0,6,16,35,4,7,0,1,23,1,4,5,9,6,9,34,16,8,92,68,0.06,-1.2218487496163564,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,5V,0,6,28,22,7,5,0,0,17,0,3,14,7,4,11,26,19,2,85,68,0.76,-0.11918640771920865,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,6V,0,5,27,19,8,7,2,1,13,3,1,6,9,9,11,22,20,4,82,68,0.83,-0.08092190762392612,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,LICEO LUIS CRUZ MARTINEZ,7V,1,10,19,11,3,7,0,2,11,2,3,6,4,14,19,8,7,5,64,68,0.19,-0.721246399047171,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,11V-12V,0,17,53,52,12,8,2,0,10,2,2,33,45,29,26,15,2,2,154,20,0.41,-0.38721614328026455,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,13V-15V,1,9,44,29,9,7,0,1,12,1,1,24,22,31,15,15,4,1,112,20,0.86,-0.06550154875643228,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,16V-17V,0,10,18,21,4,3,1,1,11,2,3,12,13,22,5,9,4,1,69,20,0.56,-0.25181197299379954,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,18V-19V,1,10,35,25,6,8,0,1,3,1,4,27,15,20,14,7,2,0,89,20,0.22,-0.6575773191777937,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,20V-21V,0,12,28,17,4,5,0,1,8,1,6,13,13,17,13,9,2,2,75,20,0.84,-0.07572071393811836,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,COLEGIO MARIA AUXILIADORA,22V-24V,0,20,41,48,12,13,0,2,11,2,1,16,39,43,23,15,7,3,147,20,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
