REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,31M,2,10,33,47,18,24,0,0,20,0,2,3,3,4,3,8,3,12,2,44,3,44,1,14,0,7,154,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,32M,2,16,40,53,8,17,0,2,22,2,4,4,6,4,6,7,9,30,3,34,1,26,0,14,0,12,160,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,33M,3,21,26,40,9,19,0,1,23,1,1,2,4,13,10,18,2,3,0,27,0,34,0,21,0,7,142,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,34M,5,23,34,51,12,22,0,1,24,1,4,5,13,9,3,4,1,1,1,37,11,43,7,29,1,3,172,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,35M,1,19,45,65,10,32,0,1,22,1,1,3,3,8,4,1,4,8,26,63,14,31,0,17,1,10,195,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,36M,4,24,52,58,20,33,0,0,18,0,0,3,13,22,10,10,22,18,2,40,1,44,1,16,0,7,209,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,37M,3,17,31,37,9,21,0,5,29,5,3,1,15,13,15,12,2,3,2,24,2,34,2,19,0,5,152,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,38M,2,26,25,41,13,17,0,1,18,1,3,2,9,10,1,10,4,6,6,39,0,28,0,17,0,8,143,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,39M,0,13,30,50,14,24,0,1,18,1,3,5,14,13,2,8,5,4,4,36,5,23,2,19,0,7,150,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,17V,3,26,45,32,16,14,1,0,20,1,2,1,1,19,0,52,6,1,19,4,28,3,13,1,6,0,157,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
