REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,2M,3,19,39,33,13,15,0,0,34,0,2,5,5,26,38,53,23,4,156,28,-1,-1,1,18,32,34,15,3,16,37,12,118,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,2.0,1.0,7.0,-1.0,-2.0,-3.0,-1.0,-3.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,3M,3,15,27,35,13,21,2,1,30,3,4,6,23,3,43,39,25,5,147,28,-1,-1,1,18,31,32,13,3,16,33,33,112,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,2.0,-3.0,-4.0,3.0,0.0,0.0,5.0,-3.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,4M,1,25,28,30,12,21,0,0,34,0,4,11,38,4,39,27,25,4,151,28,-1,-1,1,22,34,31,13,3,16,31,53,95,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,3.0,-6.0,-1.0,-1.0,-3.0,5.0,3.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,5M,1,31,39,32,17,14,1,4,34,5,4,3,47,3,54,33,25,3,173,28,-1,-1,2,24,38,36,15,3,18,37,54,115,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,7.0,1.0,-4.0,2.0,2.0,-4.0,-3.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,6M,3,18,42,34,17,20,1,2,30,3,3,45,5,6,52,38,12,6,167,28,-1,-1,1,24,37,35,15,3,17,35,53,108,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,2.0,-6.0,5.0,-1.0,2.0,0.0,3.0,-5.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,7M,1,28,32,39,14,10,2,2,41,4,5,28,17,5,45,42,23,4,169,28,-1,-1,1,23,37,36,15,3,18,36,50,114,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,5.0,-5.0,3.0,-1.0,1.0,-8.0,5.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,8M,0,23,25,41,18,21,1,3,25,4,5,5,1,6,72,48,17,2,157,28,-1,-1,1,16,31,35,15,3,17,39,11,139,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,7.0,-6.0,6.0,3.0,1.0,4.0,-14.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,9M,1,14,29,28,18,21,0,1,36,1,1,2,0,58,48,25,14,0,148,28,-1,-1,1,19,30,32,15,2,15,34,3,87,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,-5.0,-1.0,-4.0,3.0,-1.0,6.0,2.0
DEL MAULE,LONTUE,LICEO JUAN AGUSTIN MORALES GONZALEZ,10V,0,22,34,38,11,13,3,3,39,6,4,32,9,16,58,32,13,0,163,28,-1,-1,1,23,36,34,15,3,17,34,45,103,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,-1.0,-2.0,4.0,-4.0,3.0,-4.0,5.0
DEL MAULE,LONTUE,LICEO JUAN AGUSTIN MORALES GONZALEZ,1V,2,15,26,32,13,16,1,3,35,4,4,4,1,35,20,39,32,8,143,28,-1,-1,1,17,29,31,14,3,15,33,9,99,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,1.0,-2.0,-3.0,1.0,-1.0,1.0,1.0,2.0
